Date,AAPL,MSFT,NVDA,AMZN,GOOGL,META,JPM,V,UNH,HD,MA,PG,COST,AVGO,LLY,XOM,MRK,ABBV,PEP,KO,BAC,WMT,CRM,ADBE,NFLX,AMD,CSCO,TMO,ACN,MCD,ABT,LIN,ORCL,INTC,QCOM,TXN,NEE,AMGN,HON,IBM,CAT,GE,BA,GS,SPGI,BLK,NOW,ISRG,BKNG,LOW
2021-01-04,160.784753,39.222945,338.675798,206.177054,139.575326,393.509914,191.394229,348.561177,66.095692,340.420129,311.541642,428.10194,431.506013,383.025692,167.398995,396.068958,122.133217,325.667779,76.550274,241.67927,430.857491,258.348318,48.193593,283.012518,392.36778,331.259297,254.465119,228.129332,126.205156,199.222104,213.148839,105.687884,62.919093,333.012983,132.866698,432.60592,439.458045,211.459522,200.628694,299.812154,219.382195,353.790832,90.240892,109.766292,362.488594,367.615998,240.553552,99.841868,49.47381,280.678376
2021-01-05,161.109364,39.484352,345.020567,209.57463,141.942501,382.670111,192.767041,342.517804,64.280299,342.700832,310.860315,436.185012,441.512775,379.416312,165.786711,398.333821,120.186463,326.893576,76.35963,246.614856,423.172031,255.933872,48.081071,280.113619,389.753516,339.918526,256.626134,231.660637,127.351362,201.349014,215.787315,105.168174,63.351185,333.360193,131.974627,440.486876,438.38643,214.176271,197.272136,302.436326,215.876131,345.93645,90.275237,110.594561,360.232332,370.626821,248.819236,100.021902,49.63094,276.61008
2021-01-06,159.554343,39.490599,341.885008,211.126082,139.668046,377.283541,193.371709,334.444896,62.66984,335.871236,308.507798,431.890216,437.722656,374.483548,165.216389,399.965696,121.831768,323.153136,74.704198,243.975454,430.091473,252.260246,48.796653,274.763102,385.134174,337.799608,253.021015,229.522972,125.557469,201.885547,214.748366,105.302557,62.410698,324.711014,131.383586,432.52942,430.524564,213.92595,196.382464,300.147819,214.964693,347.528951,88.454984,108.203046,353.973236,369.21512,247.91706,100.480824,49.065254,274.354299
2021-01-07,159.651268,38.910454,337.664614,206.210928,142.134162,379.763556,195.780249,341.304167,61.775451,332.004872,306.735732,429.946303,438.961089,372.851462,165.012799,392.665449,120.271783,316.554074,73.838836,241.617358,430.209535,251.020817,48.451558,281.364698,380.056555,329.793172,243.73983,227.792591,124.430434,196.288215,216.5085,107.431057,62.297804,324.871393,129.42257,433.74189,437.287134,210.627639,194.432431,304.292888,214.968591,344.458323,84.906702,106.108882,353.847061,365.217674,247.722487,98.175315,48.862801,276.325604
2021-01-08,161.352766,40.938601,339.65726,211.529548,143.864814,382.696492,198.901495,348.501623,63.361817,335.092325,316.958767,431.758733,440.991546,378.399625,163.130408,397.553329,121.221604,321.79928,74.855416,245.546819,438.207713,253.278594,48.50862,283.853833,391.178447,339.197395,248.888556,231.810898,126.41115,197.967102,215.946274,106.746131,63.265753,329.554807,131.170559,444.797854,446.804599,213.394953,197.519225,309.477309,218.233145,352.259819,84.724897,107.36421,357.877639,372.512934,251.034436,99.218537,49.982259,280.198348
2021-01-11,164.391628,41.271782,342.693767,212.893372,145.477631,386.431622,201.558781,355.815444,64.602314,337.626219,313.304408,436.360806,441.451638,378.979063,161.148319,395.314922,119.253718,323.596937,74.684217,245.424264,432.786897,252.469095,48.345326,295.629111,395.241868,336.954652,243.863469,232.316129,128.484047,198.312922,215.711323,106.526464,63.47815,321.68273,130.357465,446.599168,454.843239,213.565957,197.26027,305.079596,219.523473,360.363105,85.948555,109.328112,357.414685,373.220829,252.727574,101.017229,49.985335,282.435274
2021-01-12,161.252437,39.886868,342.94925,214.308169,144.173417,395.877342,202.943895,358.753737,64.640659,337.39957,310.716671,431.579082,440.133435,380.992008,163.511051,388.302644,122.588899,328.964038,73.984291,248.690886,423.564906,252.471624,48.737576,299.666639,396.909288,339.513022,244.025322,231.564927,127.409956,196.39827,216.917012,107.648846,62.990072,326.660318,130.222831,447.125323,447.65067,214.697677,197.216894,303.419273,222.579714,356.340804,85.802112,107.985286,353.773453,374.719195,253.113396,97.776497,48.890109,279.358745
2021-01-13,161.086973,39.760886,344.311789,216.908286,146.042753,393.325746,199.955942,361.994012,65.961406,339.912574,313.559152,426.00498,441.096692,381.383539,161.288485,397.15551,119.912646,327.940862,73.987075,254.626167,422.998541,252.883922,47.813201,304.76565,395.062746,341.123421,245.725777,230.772695,127.679186,194.743257,216.130914,103.958348,62.968806,314.871313,129.743576,447.007935,450.358227,216.651829,196.662406,303.925315,224.126078,360.396473,88.206637,107.951339,356.463212,375.278258,260.760038,98.192081,48.674489,280.606137
2021-01-14,160.548711,40.09719,350.294005,220.317518,147.71502,400.176732,196.94561,360.089174,64.294964,341.237619,317.626465,432.247614,439.195904,387.449397,162.239968,394.162619,117.189756,331.28303,74.928546,260.543421,414.968668,253.200662,47.670353,309.248394,390.391423,348.488362,251.469271,232.914835,127.599715,198.355071,218.553312,103.48732,63.271934,327.337331,128.928833,448.950228,450.574392,216.988557,198.453355,307.017545,223.006459,361.430484,89.39309,110.031123,356.239527,375.06852,266.686802,96.557096,49.401139,285.538871
2021-01-15,162.417501,41.69138,350.360385,225.072381,148.430495,404.098863,201.251484,356.89071,62.909745,347.113274,315.991632,445.161159,432.811397,390.844743,163.217129,391.542407,115.309731,335.820589,75.449052,265.650296,415.949672,256.156014,47.414958,315.481669,390.956667,370.16086,255.636987,236.295114,127.95717,201.131058,218.39217,102.254874,64.114361,324.636576,129.196739,459.857685,467.481689,222.830767,199.738147,308.738022,224.288907,367.677275,88.901177,113.164948,357.881447,384.515474,268.003026,97.227834,50.751202,290.371786
